Exercise Name,Link,Instructions,Comments,Target Muscles,Thumbnail GIF
Machine-assisted Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/AsChestDip,"Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Step down onto assistance lever with hips and knees bent. Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat.",See mount and dismount. Some assisted machines require you to kneel on platform instead of standing on bar. Also see Assisted Triceps Dip.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/5514/3885/7788/AsChestDip.gif
Machine-assisted Chest Dip (kneeling),https://exrx.net/WeightExercises/PectoralSternal/AsChestDipKneeling,"Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent. Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders push body up until arms are straight. Repeat.",See mount and dismount. Some assisted machines require you to standing on bar. Also see Assisted Triceps Dip.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/9414/3885/7786/ASChestDipKneeling.gif
Barbell Bench Press,https://exrx.net/WeightExercises/PectoralSternal/BBBenchPress,Lie supine on bench. Dismount barbell from rack over upper chest using wide oblique overhand grip. Lower weight to chest. Press bar upward until arms are extended. Repeat.,Range of motion will be compromised if grip is too wide.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/2315/2069/6083/BBBenchPress.gif
Barbell Bench Press (power lift),https://exrx.net/WeightExercises/PectoralSternal/BBBenchPressPowerLift,"Lie supine on bench. Grasp bar with overhand and slightly wider than shoulder width grip. Arch back, extend hips, and position feet back flat on floor. Dismount barbell from rack over chest. Lower weight to lower chest. Press bar upward until arms are extended. Repeat.","Competitive lifting requires bar to make contact with chest above bottom of the sternum with momentary pause. Gluteus Maximus, Erector Spinae, Quadriceps, and other muscles may be considered significant stabilizers during actual powerlift.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/5214/7349/6096/BBBenchPressPowerlift.gif
Barbell Board Press,https://exrx.net/WeightExercises/PectoralSternal/BBBoardPress,"Lie supine on bench. Grasp bar with overhand and slightly wider than shoulder width grip. Arch back, extend hips, and position feet back flat on floor. Dismount barbell from rack over chest. Have assistant hold board on center of chest. Lower weight toward lower chest on to board. Press bar upward until arms are extended. Repeat.","Instead of assistant holding bench board, it can be strapped to torso, as shown. Boards of varying thicknesses (1, 2, or 3) can be used. Board Press develops strength in middle range of motion for Bench Press. Gluteus Maximus, Erector Spinae, Quadriceps, and other muscles may be considered significant stabilizers during actual powerlift.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/3314/3885/7804/BBBoardPress.gif
Barbell Floor Press,https://exrx.net/WeightExercises/PectoralSternal/BBFloorPress,"Lie supine on floor at base of power rack. Place feet on floor with knees bent. Grasp bar from rack with overhand and slightly wider than shoulder width grip. Dismount barbell from rack over chest. Lower weight to lower chest until the triceps are completely on the floor. Relax momentarily, then press bar upward until arms are extended. Repeat.",Floor Presses are also said to build explosive strength by breaking eccentric/concentric chain (AKA: stretch-shortening cycle) normally activated at bottom of standard Bench Press.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/9914/3885/7806/BBFloorPress.gif
Barbell Guillotine Bench Press,https://exrx.net/WeightExercises/PectoralSternal/BBGuillotineBenchPress,Lie supine on bench. Dismount barbell from rack over upper chest using wide oblique overhand grip. Lower weight to neck to upper chest. Upper arms will be perpendicular to torso. Press bar until arms are extended. Repeat.,Upper arm travels in perpendicular path to torso to minimize anterior deltoid involvement and mimics upper arm positioning of Chest Flies. The oblique grip (hand positioned with palm diagonal on bar) allows elbows to be more easily turned outward to each side. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/3914/3885/7798/BBBenchPressGuillotine.gif
Barbell Bench Press (with chains),https://exrx.net/WeightExercises/PectoralSternal/BBBenchPressChain,"Lie supine on bench. Grasp barbell loaded with thick chains from each side, with overhand and slightly wider than shoulder width grip. Dismount barbell from rack over chest. Lower weight to chest. Press bar upward until arms are extended. Repeat.",Chains provide increasing resistance as barbell moves away from floor. Chains can be used during either Powerlift-style Bench Press or Standard-style Bench Press. Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/1214/3885/7793/BBBenchPressChain.gif
Barbell Decline Bench Press,https://exrx.net/WeightExercises/PectoralSternal/BBDeclineBenchPress,Lie supine on decline bench with feet under leg brace. Dismount barbell from rack over chest using wide oblique overhand grip. Lower weight to chest. Press bar until arms are extended. Repeat.,Range of motion will be compromised if grip is too wide. Latissimus Dorsi involvement is l ow on Decline Bench Press (Barnett 1995). Also see Bench Press Analysis.,"['Pectoralis Major, Sternal']",https://exrx.net/application/files/8714/3885/7800/BBDeclineBenchPress.gif
Cable Chest Dip,https://exrx.net/WeightExercises/PectoralSternal/CBChestDip,"Step between wide dip bars with dip belt around waist. Kneel as close as possible to low pulley and attach cable to dip belt. Stand up and mount dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Keep hips and knees bent. Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight and repeat.","The animation depicts dip bar placed in front of low pull cable. If cable dip machine is available, attach hip harness and step up to dip bar. Also see Cable Triceps Dip.","['Pectoralis Major, Sternal']",https://exrx.net/application/files/3014/3885/7832/CBChestDip.gif
